transaction_id,goods_classification,goods,quantity,unit,price
10001,,SELF CLEANING MAGNET OVBAP 260/100 NEA,1,unit,EUR 76460.00
10001,,RECTIFIER BRIDGE TRC 26,1,unit,EUR 7370.00
10002,"Food, agricultural and related goods",MIXTURES OF NATURAL RUBBER SVR3L AND SBR1502,,,
10002,Consumer Goods,AIR CONDITIONER,,,
10002,"Food, agricultural and related goods",MIXTURES OF NATURAL RUBBER SVR10 AND SBR1502,,,
10002,Automotive  and Auto Parts,TIRES,,,
10002,Construction and Building Materials,ASBESTOS,,,
